time_key,full_time,hour,minute,second,period,shift
155,00:01:55.0000000,0,1,55,AM,Night
156,00:01:56.0000000,0,1,56,AM,Night
157,00:01:57.0000000,0,1,57,AM,Night
158,00:01:58.0000000,0,1,58,AM,Night
159,00:01:59.0000000,0,1,59,AM,Night
200,00:02:00.0000000,0,2,0,AM,Night
201,00:02:01.0000000,0,2,1,AM,Night
202,00:02:02.0000000,0,2,2,AM,Night
203,00:02:03.0000000,0,2,3,AM,Night
204,00:02:04.0000000,0,2,4,AM,Night
205,00:02:05.0000000,0,2,5,AM,Night
206,00:02:06.0000000,0,2,6,AM,Night
207,00:02:07.0000000,0,2,7,AM,Night
208,00:02:08.0000000,0,2,8,AM,Night
209,00:02:09.0000000,0,2,9,AM,Night
210,00:02:10.0000000,0,2,10,AM,Night
211,00:02:11.0000000,0,2,11,AM,Night
212,00:02:12.0000000,0,2,12,AM,Night
213,00:02:13.0000000,0,2,13,AM,Night
214,00:02:14.0000000,0,2,14,AM,Night
215,00:02:15.0000000,0,2,15,AM,Night
216,00:02:16.0000000,0,2,16,AM,Night
217,00:02:17.0000000,0,2,17,AM,Night
218,00:02:18.0000000,0,2,18,AM,Night
219,00:02:19.0000000,0,2,19,AM,Night
220,00:02:20.0000000,0,2,20,AM,Night
221,00:02:21.0000000,0,2,21,AM,Night
222,00:02:22.0000000,0,2,22,AM,Night
223,00:02:23.0000000,0,2,23,AM,Night
224,00:02:24.0000000,0,2,24,AM,Night
225,00:02:25.0000000,0,2,25,AM,Night
226,00:02:26.0000000,0,2,26,AM,Night
227,00:02:27.0000000,0,2,27,AM,Night
228,00:02:28.0000000,0,2,28,AM,Night
229,00:02:29.0000000,0,2,29,AM,Night
230,00:02:30.0000000,0,2,30,AM,Night
231,00:02:31.0000000,0,2,31,AM,Night
232,00:02:32.0000000,0,2,32,AM,Night
233,00:02:33.0000000,0,2,33,AM,Night
234,00:02:34.0000000,0,2,34,AM,Night
235,00:02:35.0000000,0,2,35,AM,Night
236,00:02:36.0000000,0,2,36,AM,Night
237,00:02:37.0000000,0,2,37,AM,Night
238,00:02:38.0000000,0,2,38,AM,Night
239,00:02:39.0000000,0,2,39,AM,Night
240,00:02:40.0000000,0,2,40,AM,Night
241,00:02:41.0000000,0,2,41,AM,Night
242,00:02:42.0000000,0,2,42,AM,Night
243,00:02:43.0000000,0,2,43,AM,Night
244,00:02:44.0000000,0,2,44,AM,Night
245,00:02:45.0000000,0,2,45,AM,Night
246,00:02:46.0000000,0,2,46,AM,Night
247,00:02:47.0000000,0,2,47,AM,Night
248,00:02:48.0000000,0,2,48,AM,Night
249,00:02:49.0000000,0,2,49,AM,Night
250,00:02:50.0000000,0,2,50,AM,Night
251,00:02:51.0000000,0,2,51,AM,Night
252,00:02:52.0000000,0,2,52,AM,Night
253,00:02:53.0000000,0,2,53,AM,Night
254,00:02:54.0000000,0,2,54,AM,Night
255,00:02:55.0000000,0,2,55,AM,Night
256,00:02:56.0000000,0,2,56,AM,Night
257,00:02:57.0000000,0,2,57,AM,Night
258,00:02:58.0000000,0,2,58,AM,Night
259,00:02:59.0000000,0,2,59,AM,Night
300,00:03:00.0000000,0,3,0,AM,Night
301,00:03:01.0000000,0,3,1,AM,Night
302,00:03:02.0000000,0,3,2,AM,Night
303,00:03:03.0000000,0,3,3,AM,Night
304,00:03:04.0000000,0,3,4,AM,Night
305,00:03:05.0000000,0,3,5,AM,Night
306,00:03:06.0000000,0,3,6,AM,Night
307,00:03:07.0000000,0,3,7,AM,Night
308,00:03:08.0000000,0,3,8,AM,Night
309,00:03:09.0000000,0,3,9,AM,Night
310,00:03:10.0000000,0,3,10,AM,Night
311,00:03:11.0000000,0,3,11,AM,Night
312,00:03:12.0000000,0,3,12,AM,Night
313,00:03:13.0000000,0,3,13,AM,Night
314,00:03:14.0000000,0,3,14,AM,Night
